iso,country,dog_vax_usd,deaths_per_100k,pep_costs_usd,deaths,human_pop_2010,
DZA,Algeria,"489,048",0.062431,"7,209,476",22,"35,419,000",
AGO,Angola,"10,735",0.975829,"3,832,129",185,"18,992,000",
BEN,Benin,"6,117",1.927798,"1,508,440",178,"9,213,000",
BWA,Botswana,"1,195",0.162046,"537,720",3,"1,978,000",
BFA,Burkina Faso,"10,812",5.403104,"1,960,201",880,"16,284,000",
BDI,Burundi,"4,816",6.456644,"811,490",550,"8,521,000",
CMR,Cameroon,"10,866",0.982710,"2,885,837",196,"19,958,000",
CPV,Cape Verde,341,0.000000,0,0,"513,000",
CAF,Central African Republic,"2,139",5.034725,"396,094",227,"4,504,000",
TCD,Chad,"178,195",0.558044,"145,060",64,"11,505,000",
COM,Comoros,418,0.000000,0,0,"692,000",
COG,Congo,283,0.539667,"604,571",20,"3,759,000",
CIV,C_te d'Ivoire,"14,322",2.637608,"2,411,940",569,"21,570,000",
COD,Democratic Republic of the Congo,"32,204",8.225822,"5,663,913","5,579","67,826,000",
DJI,Djibouti,0,2.869870,"141,050",25,"879,000",
EGY,Egypt,"1,166,376",0.133718,"16,780,814",113,"84,474,000",
GNQ,Equatorial Guinea,392,0.508333,"153,122",4,"694,000",
ERI,Eritrea,0,7.012737,"687,205",366,"5,222,000",
ETH,Ethiopia,"13,609",3.261436,"1,581,840","2,771","84,977,000",
GAB,Gabon,"1,525",0.083658,"533,658",1,"1,501,000",
GMB,Gambia,"1,162",2.093830,"260,196",37,"1,750,000",
GHA,Ghana,"4,905",0.462219,"4,087,970",112,"24,332,000",
GIN,Guinea,"6,854",4.985996,"1,131,677",515,"10,322,000",
GNB,Guinea-Bissau,"1,091",4.367770,"209,785",72,"1,643,000",
KEN,Kenya,"326,373",1.279080,"10,492,088",523,"40,863,000",
LSO,Lesotho,"1,260",1.709655,"323,670",36,"2,085,000",
LBR,Liberia,"2,723",5.503855,"624,077",226,"4,101,000",
LBY,Libyan Arab Jamahiriya,"90,356",0.023725,"2,879,821",2,"6,544,000",
MDG,Madagascar,"12,176",0.979494,"2,583,414",197,"20,147,000",
MWI,Malawi,"7,870",3.085783,"2,140,831",484,"15,689,000",
MLI,Mali,"76,375",1.859327,"825,067",248,"13,324,000",
MRT,Mauritania,"2,234",1.408700,"545,871",47,"3,365,000",
MUS,Mauritius,784,0.000000,0,0,"1,297,000",
MAR,Morocco,"357,500",0.247860,"5,548,867",80,"32,382,000",
MOZ,Mozambique,"194,400",5.663121,"2,542,531","1,326","23,409,000",
NAM,Namibia,"1,311",0.180080,"391,636",4,"2,213,000",
NER,Niger,"10,552",7.354513,"1,601,138","1,169","15,892,000",
NGA,Nigeria,"6,256,148",1.034086,"27,857,015","1,637","158,259,000",
RWA,Rwanda,"422,535",1.116038,"1,340,867",115,"10,276,000",
STP,Sao Tome and Principe,109,0.000000,0,0,"164,000",
SEN,Senegal,"8,539",1.308577,"2,180,827",168,"12,860,000",
SYC,Seychelles,52,0.000000,0,0,"86,264",
SLE,Sierra Leone,"3,874",5.155870,"691,242",301,"5,835,000",
SOM,Somalia,0,12.333201,"867,095","1,154","9,359,000",
ZAF,South Africa,"2,880,000",0.083268,"26,827,765",42,"50,491,000",
SDN,Sudan,"8,796",0.471477,"915,693",204,"43,194,000",
SWZ,Swaziland,725,0.691071,"201,505",8,"1,200,000",
TGO,Togo,"96,000",1.509065,"739,106",102,"6,781,000",
TUN,Tunisia,"644,215",0.043782,"3,082,877",5,"10,374,000",
UGA,Uganda,"189,784",0.392841,"1,303,404",133,"33,797,000",
TZA,United Republic of Tanzania,"31,394",0.766120,"3,368,915",345,"45,039,000",
ZMB,Zambia,"792,000",0.362193,"547,715",48,"13,255,000",
ZWE,Zimbabwe,"147,000",3.239508,"2,153,271",410,"12,643,000",
ATG,Antigua and Barbuda,"7,414",0.000000,0,0,"87,689",
ARG,Argentina,"1,470,274",0.007455,"6,176,931",3,"40,666,000",
BHS,Bahamas,"29,168",0.000000,0,0,"345,000",
BRB,Barbados,"21,644",0.000000,0,0,"256,000",
BLZ,Belize,"16,251",0.000000,0,0,"314,000",
BOL,Bolivia,"3,309,563",0.014276,"1,577,860",1,"10,028,000",
BRA,Brazil,"16,620,087",0.008386,"45,369,039",16,"195,424,000",
CAN,Canada,"4,082,951",#VALUE!,0,NA,"33,891,000",
CHL,Chile,"1,847,394",0.000000,0,0,"17,134,000",
COL,Colombia,"3,626,077",0.002466,"5,419,883",1,"46,299,000",
CRI,Costa Rica,"228,570",0.000000,0,0,"4,641,000",
CUB,Cuba,"1,189,466",0.005669,"4,269,775",1,"11,204,000",
DMA,Dominica,"5,886",0.000000,0,0,"69,625",
DOM,Dominican Republic,"358,917",0.065139,"3,822,436",7,"10,225,000",
ECU,Ecuador,"2,027,876",0.001132,"542,122",0,"13,772,000",
SLV,El Salvador,"1,651,045",0.045044,"15,627,207",3,"6,193,000",
GRD,Grenada,"8,624",0.000000,0,0,"102,000",
GTM,Guatemala,"2,377,681",0.024747,"973,364",4,"14,376,000",
GUY,Guyana,"39,488",0.005607,"60,927",0,"763,000",
HTI,Haiti,"581,671",1.277097,"3,563,066",130,"10,188,000",
HND,Honduras,"1,370,831",0.003070,"256,200",0,"7,619,000",
JAM,Jamaica,"230,977",0.000000,0,0,"2,732,000",
MEX,Mexico,"24,593,387",0.000794,"17,041,533",1,"110,647,000",
NIC,Nicaragua,"975,000",0.000000,0,0,"5,821,000",
PAN,Panama,"28,600",0.000000,0,0,"3,507,000",
PRY,Paraguay,"1,029,000",0.000000,0,0,"6,459,000",
PER,Peru,"907,354",0.024120,"2,897,557",7,"29,496,000",
KNA,Saint Kitts and Nevis,"4,369",0.000000,0,0,"51,672",
LCA,Saint Lucia,"14,542",0.000000,0,0,"172,000",
